cbr throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 8783.63251971888 148.524782433816 0.0870233830302181 0.0106682318359565 0.0320686574734092 0.017974579325636
1.5 8304.61411058444 110.860563994959 0.0867506487195218 0.0117291295076419 0.0260303919481701 0.00964813461733872
2 7820.44640951302 105.293520502975 0.0869806361310483 0.0133097096840767 0.0468368824983638 0.0139642401486279
2.5 7351.17176582852 81.5657519745141 0.0872273915515853 0.0141387798990328 0.047637051453212 0.020394150830956
3 6912.74337505477 55.53355366619 0.0890290054768322 0.0138752528679245 0.041079505117785 0.0233246026871089
3.5 6111.58113330863 477.554475303567 0.089101516935799 0.0142541279219996 0.0460839198280604 0.025743781704534
4 5934.61529083987 42.6248919730439 0.0922923600506834 0.025273949928942 0.0534126215287338 0.0250223631909517
4.5 5370.41162881199 155.237868047515 0.089423092485099 0.0183262020411242 0.0625129712448131 0.0316854686544982
5 4952.6109436744 18.7044179772719 0.0897744239663611 0.0206810271460105 0.0671286484082828 0.0157893749637009
5.5 4451.93435461001 1.22047265416126 0.0933199150121099 0.022189263116588 0.149298313808772 5.12143470491529e-05
6 3991.53034604869 26.5414813292405 0.0936357589527546 0.0252789926153826 0.145939077290431 0.0667356002394509
6.5 3532.40764732508 30.9440390857234 0.0971725156243196 0.029114635255701 0.136984293886076 0.0535619745246897
7 3023.21116822696 27.0626458918685 0.0941085719797082 0.0206985501979368 0.153909584511777 0.0232543831827395
7.5 2522.66515464312 3.31451882737842 0.0982774679294659 0.0262102300963457 0.263162374014514 0.0693803292218164
8 1975.89665416428 30.8702700942349 0.102127161004952 0.018351987166326 0.486033165097459 0.0561500781902141
8.5 1514.94948452628 26.1401697144739 0.114288020631428 0.0256313549601461 1.11924181076311 0.197322194549865
9 1011.4086023412 31.2502706841016 0.113612054956529 0.0161307255186197 2.33153585783578 0.499804682437024
9.5 606.887492712064 35.5510006712444 0.132436406045662 0.0375846472371145 3.10862261647593 0.414217956702471
10 240.123533051931 54.6268098385691 0.141924126745594 0.0158223700636871 10.4712640177249 2.57720712906087
