cbr throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 7727.53949236167 25.7571455695044 0.0686869174115935 0.0177280262737162 0 0
1.5 7599.85620659267 34.8564919750326 0.0686833966633493 0.017764461066741 0 0
2 7599.73676375462 35.3661552872244 0.0685783213874786 0.017432517728079 0 0
2.5 7491.83788292882 25.6257151687431 0.069662568075927 0.017906612525691 0 0
3 6998.74529457966 3.96772692082146 0.0710334015865734 0.0186275371005977 0 0
3.5 6499.68207923865 1.51473843591089 0.0713316818715789 0.0192927957357367 0 0
4 6000.0172800553 0.00607159253695213 0.0703583103999973 0.020106742934344 0 0
4.5 5500.20899764382 0.73263103507901 0.071958740970815 0.020568064754396 0 0
5 5000.08640165891 0.030358448419757 0.070358364159997 0.020106912938389 0 0
5.5 4500.06533561746 0.807460252797441 0.070360422332856 0.020113421452441 0 0
6 4000 0 0.0725571027199994 0.0207353794468837 0 0
6.5 3500.03807700368 0.826997202005029 0.0728679468704872 0.0208149206368966 0 0
7 3000.03456044237 0.0121433016493159 0.0732902253333333 0.0209455316024134 0 0
7.5 2500.00639799295 0.836543558509309 0.0738719391554712 0.0210985241413497 0 0
8 2000 0 0.0747511705600001 0.0213490758418761 0 0
8.5 1500.07261712883 0.868721755090901 0.0762254328446952 0.0217948317821595 0 0
9 999.903904537222 0.528418191231425 0.0791708437500005 0.0226761989951837 0 0
9.5 554.42164371612 0.842415036324888 0.111033014148523 0.0316644971458346 0 0
10 157.925119915518 0.776428120087647 0.106528442207261 0.0168841150496716 0.2 0.632455532033676
