cbr variant throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 NewReno2 8505.76371514077 141.412400824884 0.0877293943541568 0.0108404597657502 0.038938131382458 0.0205216968700763
1.5 NewReno2 7316.09149729559 52.9005902218312 0.0982206137587163 0.0354565438055833 0.0455684250091634 0.026542652618361
2 NewReno2 6858.12669409122 167.738468213201 0.0924841075363052 0.0155101950115194 0.0461726170241615 0.0212910985339582
2.5 NewReno2 6672.71911425356 249.242008839611 0.09712312049369 0.0280620829215825 0.0543149914595962 0.0288080701898643
3 NewReno2 5953.32881336419 98.9126110858115 0.0987131598803477 0.0334732188350916 0.0616171698617444 0.0227425160771665
3.5 NewReno2 5406.0338059814 61.8311356899339 0.100373670446821 0.0352969600530821 0.0954876416908225 0.0398201067668042
4 NewReno2 4910.88303445048 55.5413353371965 0.0974019025349233 0.0191800919198834 0.108293772802144 0.0348755711822731
4.5 NewReno2 4479.5271846972 43.2061806237055 0.0955604332032343 0.021862775636753 0.10032809012309 0.0398162953095073
5 NewReno2 4091.93915109497 33.366146792235 0.0971246145111615 0.0232834785536692 0.11355247186665 0.0456903837684638
5.5 NewReno2 3627.74437258177 168.168474402521 0.0937199429837295 0.0111069500622038 0.127837432555379 0.0607048170193997
6 NewReno2 3278.49069969988 136.657408380438 0.100640899451387 0.0288001362851107 0.203840087938887 0.0525093908601262
6.5 NewReno2 2841.51426141208 101.417783391289 0.102915277994683 0.0339709835678189 0.228260382941321 0.0647702889480054
7 NewReno2 2188.54047050801 15.5268586850748 0.104756009783898 0.030133325055813 0.341153092376106 0.0546809793810405
7.5 NewReno2 1930.9489353924 252.598182697908 0.105953641110877 0.02308118210401 0.600909139363229 0.127572805870429
8 NewReno2 1311.63603083706 84.4104545909764 0.119171811389722 0.0395277509927699 1.22797572769671 0.293156853384297
8.5 NewReno2 909.720604473345 45.9704685435073 0.135840707335616 0.0756342773278368 2.09392435606719 0.518792978400753
9 NewReno2 758.481451287603 30.9870175916816 0.124560604520446 0.0309232739216113 2.14716719031165 0.403519607623824
9.5 NewReno2 490.566340421053 73.9743300046251 0.138864059760219 0.0528002523915959 3.84579475800565 1.03404325482677
10 NewReno2 123.474251335573 33.5303477137788 0.181730320108565 0.0241726626367744 19.3860601744596 5.80182474725161
1 Vegas1 305.442570988164 6.94261980294142 0.086050202595202 0.0219957523911337 0 0
1.5 Vegas1 1118.39764601252 62.4386075674938 0.0891120817812477 0.0212611726440481 0.0905095543744075 0.129175337826797
2 Vegas1 1088.01758112418 173.915275842323 0.100063390802628 0.0495219984342146 0.321135704324895 0.270566071241211
2.5 Vegas1 749.285971317466 278.452151074197 0.1584738210049 0.196282524460246 1.72046263533025 2.1955709875567
3 Vegas1 1029.92648918171 98.8362835851747 0.0907587594038514 0.0214227981102922 0.123949266141925 0.195190311326926
3.5 Vegas1 1069.60577876782 53.0197846951523 0.0896543479039189 0.0196052404728228 0.0623871147751015 0.0806037854466061
4 Vegas1 1078.41904900613 51.2746353312972 0.0890696732072861 0.0191363666234997 0 0
4.5 Vegas1 1015.04829198059 36.9382370094324 0.0928913244798408 0.0302147827934855 0.0642474582161681 0.0831002961854582
5 Vegas1 914.437109121726 32.5490508702313 0.0945173676048808 0.0275310643782197 0.300067849818124 0.168601573789745
5.5 Vegas1 871.692928009328 120.135280784288 0.0913193218707295 0.0199179204059669 0.314220141147813 0.148607483169648
6 Vegas1 752.819789613357 130.296945969416 0.0943398498596939 0.0243635028625883 0.447820582383795 1.21445328364978
6.5 Vegas1 686.576478074463 92.4628058637075 0.0956409372999248 0.0258713550809019 0.293312597130851 0.207143185540141
7 Vegas1 828.338090814842 6.31265908952229 0.0955959806456283 0.0279892735807519 0 0
7.5 Vegas1 587.698726949695 244.50440510328 0.0946559627165529 0.0271123405867445 0.0276243093922652 0.0873557364687398
8 Vegas1 701.957330724713 78.9660197183714 0.0960115498518891 0.0202248241760418 0.0843762600879897 0.109246858480841
8.5 Vegas1 612.167401315057 37.8001460920244 0.0943027846971133 0.013754663192089 0.08215920123453 0.132605351210248
9 Vegas1 317.772461608801 44.1688092982817 0.109452821377256 0.0311064775464294 1.11723829185334 2.50123264612641
9.5 Vegas1 174.567027555354 45.8839361317497 0.137886137447464 0.0330550217607449 9.53371905975656 7.93233731485144
10 Vegas1 180.645817303209 62.3283391196699 0.135149114510706 0.0345253921985975 12.5625307581983 6.15420860789834
