cbr variant throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 NewReno2 5314.17339763884 538.126273473846 0.0895658637307129 0.0144035658536073 0.087947366572869 0.0536192376851274
1.5 NewReno2 4960.58365486159 495.195772095354 0.0937843496666188 0.0271897394152696 0.0961368429649433 0.0620152265442248
2 NewReno2 4951.64378017566 981.708380254596 0.0953670932693308 0.0285632164704479 0.136903560523692 0.10129670440104
2.5 NewReno2 4439.59309679804 673.067875225642 0.0874503026565913 0.0114707154921872 0.124932986865836 0.0494347858608843
3 NewReno2 3717.69758903936 510.371182014641 0.0962061415479857 0.0287060486788867 0.153469084956105 0.0678992716435674
3.5 NewReno2 3681.78295530995 908.719334355261 0.0977607609032482 0.0290668779374816 0.143101614762826 0.0784475160477582
4 NewReno2 2642.97479830898 571.974905516093 0.0969342471391715 0.0186815490680381 0.227499437162128 0.0880965751588621
4.5 NewReno2 3502.39336356509 438.059400335054 0.0964058542541267 0.0227561654558699 0.175729384120935 0.0504273748260858
5 NewReno2 3126.34093253579 365.551963060833 0.0974276725566342 0.0318548371639826 0.306136712200242 0.102664882262753
5.5 NewReno2 2797.54069876123 356.226105570622 0.0931073564935837 0.0152864525260751 0.293870369742335 0.0817616676542329
6 NewReno2 2480.93408142847 307.035801315674 0.0926847675075542 0.0146219039874557 0.350186076383809 0.0726192932852868
6.5 NewReno2 2190.50858610025 268.15038174936 0.0984986622446291 0.0149599669950062 0.420801392511853 0.150509616699047
7 NewReno2 1638.05229261489 245.467813636552 0.114756118276 0.0519535385914463 0.490681145330287 0.128839890294039
7.5 NewReno2 1493.80372502359 251.216122244763 0.110334832317453 0.0356763531800266 0.693500232352248 0.190303251690613
8 NewReno2 1356.19815062701 182.829485473229 0.112445507221711 0.0364201716604739 0.979450425928965 0.265331397384933
8.5 NewReno2 1061.6837410352 79.6930887215411 0.113083769642344 0.0227254567709869 1.61123071344003 0.36734433238457
9 NewReno2 631.675127636921 54.8145650263858 0.13371485953308 0.057027934699906 4.29049715455587 1.14978871594488
9.5 NewReno2 412.68712890127 40.3143726384021 0.134911960396816 0.0323989386923171 5.31804792162848 1.2611481053825
10 NewReno2 200.017332291323 49.6193971817354 0.154415896058218 0.0372829601755373 13.4558865343825 3.55008454189259
1 Reno1 3223.01699540109 499.955416579363 0.0871012113501953 0.00270897421061407 0.127766254348 0.046629071921581
1.5 Reno1 3167.78137456227 565.816651146915 0.0885276309975116 0.00597650573885039 0.136691295047047 0.0585981220153103
2 Reno1 2715.19315637048 1058.73190154124 0.0933728289504694 0.0144409705424274 0.24306353066988 0.133880375017172
2.5 Reno1 2639.79543064009 746.089294032898 0.0906697920028288 0.00934164555430366 0.225129930005077 0.103915648383321
3 Reno1 3004.17317100871 407.825370735117 0.100843764058603 0.0366923754125236 0.151765249087087 0.0344836860872704
3.5 Reno1 2616.13526373045 864.159547904502 0.0958444355038693 0.0137481152325864 0.262957896679312 0.208007322415015
4 Reno1 3306.60239200166 664.800664149191 0.0957473317027107 0.0170804727486986 0.137229624483254 0.074602785698482
4.5 Reno1 1820.25675844565 439.968503793102 0.105558075942569 0.041908092611637 0.434705116002321 0.225933928836028
5 Reno1 1624.57623272894 404.013639856887 0.104169566100932 0.0378819240531968 0.580205238705972 0.255624580234643
5.5 Reno1 1582.31655067541 399.394596201056 0.106949365345896 0.0509684844324139 0.536806973739644 0.225423869939044
6 Reno1 1397.46312677619 375.23902114017 0.0968890666915813 0.0116541091686258 0.657486667641788 0.303916550292163
6.5 Reno1 1275.31129258729 267.637733813504 0.137975241703972 0.127325701334753 0.656386186092531 0.265276178163866
7 Reno1 1490.13635935413 256.114666048642 0.103212922014669 0.00902102834472904 0.452758238763821 0.0775050166763398
7.5 Reno1 1094.92813352934 248.133101551622 0.112525382767124 0.035142207865053 0.827333120983393 0.324329106557429
8 Reno1 718.700480663052 170.891117301627 0.116256164053802 0.0267513339995951 1.85153971280085 0.864426408730285
8.5 Reno1 481.084289670037 83.3505952398804 0.120560707611436 0.0170875065781106 3.53922087110196 0.865745236169213
9 Reno1 393.214373448875 68.0769875295526 0.126350621075686 0.0182256104227029 5.03677480293903 1.47380069986771
9.5 Reno1 242.288388897492 44.1377911505528 0.176074850870978 0.120634693796642 7.32490055694708 2.03389153166164
10 Reno1 161.912210849272 74.368908372282 0.195057874575624 0.0637868690543852 13.637559978362 7.32521651100577
