cbr throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 8288.29486961298 26.3916055895295 0.0911955441352841 0.0263442579093612 0.0301445843772406 0.0143138065760814
1.5 7859.76277926885 1.08128492822815 0.0916328344613144 0.0266991548348553 0.0232692319222695 0.00668400431324805
2 7344.01054635312 171.515303939994 0.0916568341504991 0.0290284316621365 0.0498327070246138 0.0143423563071653
2.5 6827.07021231333 217.863860248919 0.0848147774597283 0.00877782769199027 0.0469454728365157 0.0265354503461903
3 6456.31046974914 186.741735800714 0.0949235388434404 0.0348366255802821 0.0491689296169598 0.0194905313344422
3.5 5462.64310785526 799.618243171817 0.0970743923294687 0.0460628297438673 0.0567854212542028 0.0263424925164297
4 5498.48775620519 187.472508115092 0.0950473942308984 0.035918257244548 0.0460152682264285 0.0231794221642842
4.5 4972.89623381124 145.246060729908 0.0947568053801555 0.0367183284287928 0.0935922464270738 0.0258270098829603
5 4557.93063359543 156.444965330065 0.0902374964845513 0.0232211538928245 0.0950065572680284 0.0422104004387747
5.5 4098.01083548898 114.045781590443 0.0886640154890283 0.0171337383004304 0.174605488656637 0.0481114237139662
6 3662.61801678433 5.84450175362625 0.0927268636758017 0.0278222604699075 0.136180137030504 0.0429228603861841
6.5 3241.24791598598 41.0803398339303 0.0913762416297424 0.021525956249575 0.107855086366133 0.0181644445577467
7 2831.00385952106 86.211409873028 0.0979319074719735 0.0341140658911506 0.182208511253672 0.0433293732497824
7.5 2344.96691993313 43.5850849107166 0.0966310369031936 0.0359030276089677 0.198786320868812 0.0314779152475575
8 1934.46777433975 1.15756408274836 0.0996999504334699 0.0398805376381171 0.496518609340861 0.0543438475816689
8.5 1526.10116859666 35.2563629287048 0.101499095062845 0.0371001502671925 1.0314271338265 0.238829105652382
9 1005.74270081473 34.9106902664467 0.10598809462479 0.0222647247814508 2.7147220382106 0.487987184728901
9.5 629.851609930319 20.6724603902269 0.122010257555297 0.0390162166400721 2.1215502278156 0.250058711861397
10 223.482155503004 30.5690435548315 0.157253724412028 0.0510456519750457 10.293466129539 1.24529150351331
