cbr variant throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 Vegas1 4500.48 0.674619234169264 0.0723098981564452 0.0206563449823254 0 0
1 Vegas2 4499.52 0.674619234169503 0.0723151956545983 0.0206731637714472 0 0
1.5 Vegas1 4249.92 3.43989663927438 0.0724295327150648 0.0207039385408742 0 0
1.5 Vegas2 4250.08 3.29201053056189 0.0724228307337171 0.0206827449599123 0 0
2 Vegas1 4124.94256470648 3.62550081984447 0.070345294500384 0.0200655830457672 0 0
2 Vegas2 3875.33392591075 3.61036431005864 0.0703751748552489 0.0201600730244336 0 0
2.5 Vegas1 3874.72248119959 2.72683644367671 0.0703424653195842 0.0200566363905268 0 0
2.5 Vegas2 3625.28232042858 2.69881353413019 0.0703787734747975 0.0201714528586391 0 0
3 Vegas1 3624.97393485955 3.23628669973291 0.0703538063134622 0.0200924997621107 0 0
3 Vegas2 3375.05294565656 3.28830712594834 0.0703638539810389 0.0201242732768246 0 0
3.5 Vegas1 3249.76418762548 2.895705955658 0.0703690571992072 0.0201407272973988 0 0
3.5 Vegas2 3250.24414410469 3.10330813337253 0.070346008845205 0.020067842002434 0 0
4 Vegas1 3000.26369626994 3.65893840738008 0.0703711384615348 0.0201473088267614 0 0
4 Vegas2 2999.94367169299 3.64660310143192 0.0703457993610187 0.0200671795552706 0 0
4.5 Vegas1 2809.04986318905 3.52872547570776 0.0751709136779986 0.0215263266096634 0 0
4.5 Vegas2 2691.12612529002 3.57985471611823 0.0751371307760458 0.0214198070383683 0 0
5 Vegas1 2560.64 5.29049462085816 0.0720851429283493 0.0205078226053139 0 0
5 Vegas2 2439.36 5.29049462085899 0.0721496631578953 0.0207118534858358 0 0
5.5 Vegas1 2249.60575901286 0.00743485362942702 0.0742718116117749 0.0212386224451051 0 0
5.5 Vegas2 2250.40576310888 0.84935975518182 0.0742613612422044 0.0212055085473528 0 0
6 Vegas1 1999.2 5.80574428188726 0.0747623724579664 0.0213844993535667 0 0
6 Vegas2 2000.8 5.80574428188726 0.0747475964828138 0.0213377736174343 0 0
6.5 Vegas1 1750.45603008241 2.1462653958053 0.0753823066377449 0.0215377771368345 0 0
6.5 Vegas2 1749.65597887831 2.15615705801039 0.0753852983414828 0.0215474212292298 0 0
7 Vegas1 1440.02488367777 0.00874323314487085 0.0732858928888892 0.0209318312101343 0 0
7 Vegas2 1560.02695731758 0.0094718359069594 0.073289311692308 0.02094264241581 0 0
7.5 Vegas1 1304.32 1.26209702039449 0.0809355719901717 0.0231971154290776 0 0
7.5 Vegas2 1195.68 1.31723616375769 0.0808831541443847 0.0230313556463513 0 0
8 Vegas1 1052.64 2.76614452904322 0.0835551610942245 0.0238915171472393 0 0
8 Vegas2 947.36 2.76614452904317 0.0835281864864862 0.0238062159477966 0 0
8.5 Vegas1 749.941165678797 1.06731736336591 0.105522572863249 0.0301130194327752 0 0
8.5 Vegas2 750.101133423519 1.22659610108506 0.105480689574469 0.0299805728443325 0 0
