start_time throughput latency pdr
0 8.77397132669044 0.0822982772385071 0.943312271958708
10 9.3661851701368 0.0826936426937744 0.0169434090138936
20 9.3661851701368 0.0827794151630665 0.0169448445310514
30 9.36618423357589 0.082865973570522 0.0169434090138936
40 9.3661851701368 0.0829537087674725 0.0169448445310514
50 9.36618423357589 0.0830490770012704 0.0169448445310514
60 9.36618517013679 0.0831454105887312 0.0169448445310514
70 6.3737995397142 0.0808082770680872 0.608695652173913
80 3.41420736634625 0.0689973653711912 0.324675324675325
90 3.41662050996968 0.0689887491864267 0.324299281908733
100 3.41262866027404 0.0689828478866718 0.323999074288359
110 3.41741669966039 0.0689827797121652 0.32377428307123
120 3.41900634765625 0.0689850202137551 0.324149108589951
130 5.23110736625321 0.0671043560559946 0.120391271632807
140 9.36618517013679 0.0830177738246471 0.0169434090138936
150 9.3661842335759 0.0831156792884334 0.0169448445310514
160 9.36618517013679 0.0832141272342189 0.0169448445310514
170 9.3661842335759 0.0833182348157525 0.016946280291476
180 9.3680867351575 0.0834145339657773 0.0169434090138936
