start_time throughput latency pdr
0 8.24592809093145 0.0800288704383138 0.965634762851463
10 9.36939440491353 0.0828252946058102 0.0169391039214026
20 9.36939440491353 0.0829116016597522 0.0169376693766938
30 9.36939440491352 0.0830008678126859 0.0169391039214026
40 9.36939440491352 0.0830909089677366 0.0169391039214026
50 9.36939440491352 0.0831898274197618 0.0169391039214026
60 9.36939440491353 0.0832893799644308 0.0169391039214026
70 6.02708032271797 0.0805397999212278 0.473310544307126
80 2.73107473184293 0.072647365485184 0.173963467671789
90 2.6501189231382 0.070762879041917 0.239449266686621
100 2.93735678071868 0.0696013099162398 0.188323917137476
110 2.63980197718661 0.0706797934554199 0.240096038415366
120 2.94686876662733 0.0697729797898141 0.241481083981755
130 4.55099283088588 0.066984908486439 0.0519570488396259
140 9.36939440491353 0.0830812566686397 0.0169391039214026
150 9.36939440491353 0.0831799637564537 0.0169391039214026
160 9.36939440491351 0.0832795163011232 0.0169391039214026
170 9.37032274112009 0.0833783263612472 0.0169391039214026
180 9.37731351538363 0.0833807542702503 0.0169176112332939
