start_time throughput latency pdr
0 5.9951424477773 0.0671459348490861 0.458175153815944
5 6.29834098591557 0.0670323648274092 0.0503905265810028
10 6.2571821254547 0.0671395871164056 0.0507292327203551
15 6.3110057624242 0.0672340115665045 0.0502891626854413
20 6.32373112342493 0.0672466205513757 0.050125313283208
25 6.34834813346111 0.0671185541927374 0.0500688446614094
30 6.34197013780238 0.0673273611180401 0.0623908160718742
35 4.45045064323404 0.0691807891834189 0.160886664283161
40 2.3303814364761 0.0702690698466782 0.407747196738022
45 2.33196834926907 0.0695580876061123 0.338868180277872
50 2.3430561199425 0.0697745037338768 0.338066260987153
55 2.6929931640625 0.0693465871234505 0.292740046838407
60 2.3565673828125 0.0715460559110811 0.402684563758389
65 4.44552991708166 0.0664022654486835 0.106269925611052
70 6.29913442771274 0.066726316160725 0.0503841793676785
75 6.29913442771274 0.0668667469454586 0.0503841793676785
80 6.25696188110127 0.0669397149378635 0.0507292327203551
85 6.30213678007216 0.067199613244365 0.050358806496286
90 6.30386482052555 0.0672842308562797 0.0628693574751666
